sample_id,replicate,root_area [mm^2],stele_area [mm^2],cortex_area [mm^2],test_succesful,test_comment
574,1,10.26359375,4.1091,6.26995,TRUE,
574,2,10.35340625,4.0853375,6.4011375,TRUE,
574,3,9.387675,4.0801375,5.4138125,TRUE,
577,1,8.655,3.08551875,5.7044625,TRUE,
577,2,8.19869375,3.06031875,5.2404375,TRUE,
577,3,8.30916875,3.0705,5.3460625,TRUE,
583,1,11.92110625,4.9284375,7.15275625,TRUE,
583,2,11.8658,5.3205125,6.70735625,TRUE,
583,3,12.3243875,5.1001875,7.3488875,TRUE,
591,1,12.21473125,5.56241875,6.77786875,TRUE,
591,2,13.5385125,5.8069625,7.90005,TRUE,
591,3,13.53813125,5.7921625,7.8935875,TRUE,
592,1,11.48920625,5.10723125,6.53225625,TRUE,
592,2,11.5604875,5.11085625,6.602225,TRUE,
592,3,11.7576625,5.119925,6.79294375,TRUE,
593,1,7.4558625,2.57124375,5.00526875,TRUE,
593,2,7.44136875,2.59273125,4.96828125,TRUE,
593,3,7.51695625,2.5002125,5.1156375,TRUE,
596,1,12.14309375,5.066675,7.2221875,TRUE,
596,2,11.3071375,4.96163125,6.49010625,TRUE,
596,3,11.23829375,4.92168125,6.47159375,TRUE,
598,1,13.84731875,5.97976875,8.0060875,TRUE,
598,2,11.7698875,5.7069,6.20769375,TRUE,
598,3,13.75161875,6.03020625,7.8596125,TRUE,
598,4,12.32933125,5.778875,6.6837625,TRUE,
602,1,12.31355,4.2227625,8.24643125,TRUE,
602,2,12.59915,4.29585625,8.4415625,TRUE,
602,3,12.5982125,4.2214625,8.53885,TRUE,
604,1,15.4925625,5.86173125,9.76535,TRUE,
604,2,15.57998125,5.705775,10.02988125,TRUE,
604,3,13.8774875,5.81165,8.2228875,TRUE,
605,1,11.97485,4.83540625,7.29103125,TRUE,
605,2,11.13078125,4.84081875,6.426525,TRUE,
605,3,11.3132125,4.72099375,6.74778125,TRUE,
607,1,14.5786125,4.57344375,10.14073125,TRUE,
607,2,12.00575625,4.55960625,7.60129375,TRUE,
607,3,11.957375,4.58920625,7.52939375,TRUE,
607,4,11.4864,4.63140625,6.97984375,TRUE,
608,1,14.64759375,5.691875,8.74368125,TRUE,
608,2,14.35905625,5.6435875,8.5801,TRUE,
608,3,14.6392,5.6207375,8.86926875,TRUE,
635,1,10.361425,3.52538125,7.0136125,TRUE,
635,2,10.69585625,3.4621,7.36948125,TRUE,
635,3,10.827075,3.4842,7.47455625,TRUE,
635,4,10.972225,3.34775625,7.78606875,TRUE,
635,5,9.09706875,3.46108125,5.7744625,TRUE,
635,6,9.2942,3.328675,6.0976125,TRUE,
643,1,11.7619,4.62383125,7.28288125,TRUE,
643,2,11.171975,4.622,6.68140625,TRUE,
643,3,10.9875,4.6344625,6.46950625,TRUE,
701,1,4.8239375,1.43130625,3.46844375,TRUE,
701,2,5.1975,1.63705,3.65525,TRUE,
701,3,5.09645,1.4366125,3.73920625,TRUE,
701,4,5.12545,1.4990875,3.70314375,TRUE,
702,1,5.661975,1.5267625,4.21413125,TRUE,
702,2,6.27480625,1.387275,4.98409375,TRUE,
702,3,6.2200375,1.513925,4.8146375,TRUE,
702,4,5.7647375,1.52299375,4.33398125,TRUE,
702,5,5.9534875,1.39078125,4.66235,TRUE,
702,6,5.99325,1.5492125,4.5201625,TRUE,
702,7,5.87769375,1.52676875,4.45770625,TRUE,
702,8,5.97355625,1.53091875,4.5458625,TRUE,
702,9,6.05154375,1.518875,4.61761875,TRUE,
702,10,6.109775,1.53236875,4.67946875,TRUE,
702,11,6.15478125,1.440575,4.7864,TRUE,
703,1,4.07658125,1.0321875,3.13005,TRUE,
703,2,4.108275,1.03035,3.14740625,TRUE,
703,3,3.9579125,0.97808125,3.05473125,TRUE,
703,4,4.10319375,0.99606875,3.1799125,TRUE,
703,5,3.826175,0.9872375,2.92088125,TRUE,
704,1,6.93724375,1.98246875,5.057525,TRUE,
704,2,6.22665625,1.87334375,4.440075,TRUE,
704,3,6.33544375,1.88715625,4.55263125,TRUE,
705,1,10.72959375,4.72224375,6.12635,TRUE,
705,2,10.656875,4.65521875,6.1156125,TRUE,
705,3,10.615325,4.60516875,6.15135625,TRUE,
706,1,6.187725,2.0289,4.25546875,TRUE,
706,2,6.360125,2.08316875,4.38380625,TRUE,
706,3,6.362075,2.08365625,4.3823125,TRUE,
707,1,8.05963125,2.74060625,5.10643125,TRUE,
707,2,8.0176125,2.76013125,5.07569375,TRUE,
707,3,8.1364,2.72854375,5.52735,TRUE,
708,1,5.3190375,1.1978125,4.1974875,TRUE,
708,2,5.01391875,1.21899375,3.8722875,TRUE,
708,3,5.02706875,1.1143375,4.0053,TRUE,
709,1,7.50405,2.25118125,4.9575625,TRUE,
709,2,7.60561875,2.21551875,5.11324375,TRUE,
709,3,7.58885625,2.16765,5.19601875,TRUE,
710,1,6.83926875,2.47206875,4.31616875,TRUE,
710,2,6.80920625,2.4953375,4.401075,TRUE,
710,3,6.83529375,2.49629375,4.43684375,TRUE,
711,1,3.108,0.83675625,2.33911875,TRUE,
711,2,3.0213,0.8774,2.20254375,TRUE,
711,3,2.8909625,0.795575,2.16845,TRUE,
711,4,2.8490125,0.78766875,2.11533125,TRUE,
712,1,2.462475,0.67381875,1.8506875,FALSE,GJM: very large differences between replicates - test disregarded
712,2,2.26355,0.5385875,1.78331875,FALSE,GJM: very large differences between replicates - test disregarded
712,3,2.2887,0.54879375,1.78485625,FALSE,GJM: very large differences between replicates - test disregarded
712,4,13.5931375,6.79765625,6.9244,FALSE,GJM: very large differences between replicates - test disregarded
712,5,13.74451875,6.7547375,7.147575,FALSE,GJM: very large differences between replicates - test disregarded
712,6,13.89009375,6.75158125,7.29553125,FALSE,GJM: very large differences between replicates - test disregarded
712,7,2.3412375,0.56109375,1.81575625,FALSE,GJM: very large differences between replicates - test disregarded
713,1,3.70441875,0.98351875,2.79615,TRUE,
713,2,3.86338125,0.9913,2.93695,TRUE,
713,3,3.84441875,1.03673125,2.8701625,TRUE,
713,4,3.837875,0.98898125,2.92016875,TRUE,
714,1,3.69343125,0.9766375,2.7950125,TRUE,
714,2,3.5938125,1.09855,2.5691125,TRUE,
714,3,3.5920625,1.0749125,2.59460625,TRUE,
715,1,6.4707625,2.29885625,4.27785,TRUE,
715,2,6.388725,2.51074375,3.989775,TRUE,
715,3,6.35200625,2.18270625,4.26391875,TRUE,
716,1,10.81031875,3.9286125,7.02329375,TRUE,
716,2,10.85578125,4.04604375,6.92678125,TRUE,
716,3,10.48329375,3.85301875,6.767925,TRUE,
717,1,5.81169375,2.0705,3.82978125,TRUE,
717,2,5.927075,2.050775,3.9710125,TRUE,
717,3,5.85846875,2.11974375,3.82359375,TRUE,
718,1,4.169025,1.25760625,2.988375,TRUE,
718,2,4.057025,1.19408125,2.932875,TRUE,
718,3,4.09475625,1.23228125,2.93348125,TRUE,
718,4,4.08895,1.211375,2.95149375,TRUE,
719,1,5.30896875,1.93356875,3.46403125,TRUE,
719,2,5.43490625,1.91540625,3.6079625,TRUE,
719,3,5.3844625,2.1300625,3.35324375,TRUE,
720,1,4.249775,1.24605625,3.0901125,TRUE,
720,2,4.33629375,1.22838125,3.191175,TRUE,
720,3,4.2490125,1.2426,3.0811875,TRUE,
721,1,10.1923875,5.01103125,5.3222625,TRUE,
721,2,10.327,4.9487375,5.50133125,TRUE,
721,3,10.59721875,5.03816875,5.65595,TRUE,
722,1,6.8207125,3.2143375,3.69875,TRUE,
722,2,6.83446875,3.17519375,3.75635,TRUE,
722,3,6.99388125,3.1791125,3.91965625,TRUE,
722,4,7.06455625,3.15863125,4.025575,TRUE,
723,1,9.13065625,4.5718625,4.68794375,TRUE,
723,2,9.4309,4.52931875,5.0177625,TRUE,
723,3,9.34990625,4.60126875,4.87589375,TRUE,
724,1,13.74125625,6.75518125,7.146075,TRUE,
724,2,13.42653125,6.64526875,6.92708125,TRUE,
724,3,13.561625,6.72064375,6.96935,TRUE,
725,1,5.27110625,1.57584375,3.78276875,TRUE,
725,2,5.0674125,1.6341,3.5202875,TRUE,
725,3,5.063525,1.63828125,3.5166625,TRUE,
726,1,2.4454875,0.78489375,1.72799375,TRUE,
726,2,2.64614375,0.65384375,2.05873125,TRUE,
726,3,2.591075,0.774925,1.87495,TRUE,
727,1,4.3519875,1.47428125,2.96835,TRUE,
727,2,4.42446875,1.52029375,2.98299375,TRUE,
